movieId,title_x,genres,year,era,title_y,tag,tag_vector
1,Toy Story,Adventure Animation Children Comedy Fantasy,1995.0,B,Toy Story,"'pixar', 'fun'","[-0.02615408 -0.02989563 -0.04940377  0.04276423  0.01783058  0.00131516
 -0.04940314 -0.02583324 -0.04858981  0.0100539   0.01415156  0.02321778
 -0.02148638 -0.01572853 -0.01539394 -0.04360958  0.01086242  0.04612811
 -0.04750933 -0.01729043]"
2,Jumanji,Adventure Children Fantasy,1995.0,B,Jumanji,"'game', 'fantasy', 'magic board game', 'Robin Williams'","[-0.20993754  0.24306962 -0.2731193  -1.1578723   2.9871435  -0.5951325
 -0.08410703  0.42319408 -0.7524356  -0.20121783 -0.8979208   0.39199397
 -0.30870843  0.44859198 -1.5975928  -1.8517128   1.5015277  -0.52578723
  0.39313042 -0.4920211 ]"
3,Grumpier Old Men,Comedy Romance,1995.0,B,Grumpier Old Men,"'moldy', 'old'","[-0.0102846  -0.03615021  0.020923   -0.0428717   0.01355768 -0.0230686
  0.00322714 -0.01028674  0.02706614 -0.04001286 -0.01059926 -0.00047908
 -0.03319389 -0.03263082 -0.00966479  0.04401737 -0.00631585  0.0176799
 -0.02875156  0.04407407]"
5,Father of the Bride Part II,Comedy,1995.0,B,Father of the Bride Part II,"'pregnancy', 'remake'","[ 0.04174178  0.02333958 -0.04705052 -0.0016939   0.03927014  0.01335738
  0.01340182 -0.02441856  0.03233586  0.00824407 -0.03801072  0.03431986
 -0.04884699 -0.04079297 -0.02437082  0.04968839  0.01556546 -0.01006019
  0.04447585  0.01175628]"
7,Sabrina,Comedy Romance,1995.0,B,Sabrina,'remake',"[ 0.04448897  0.03123408 -0.0311918   0.04332616 -0.04714523  0.00354627
 -0.03311623 -0.00400006  0.01320282 -0.03846953  0.01979431  0.00713791
 -0.0026855   0.03109216 -0.02189003 -0.00836611  0.00515292  0.0145299
 -0.04369437 -0.02545144]"
11,"American President, The",Comedy Drama Romance,1995.0,B,"American President, The","'politics', 'president'","[ 0.03937682  0.00460383  0.01850775 -0.04663615 -0.00981798  0.0108748
  0.01286739  0.04456845  0.00149726 -0.02354198 -0.01642901  0.04810532
  0.03736174 -0.04443329 -0.01800321  0.02719954  0.00443642  0.04380718
 -0.02932631 -0.01546006]"
14,Nixon,Drama,1995.0,B,Nixon,"'politics', 'president'","[ 0.04199439  0.02724807  0.04364275 -0.01577401  0.01155425 -0.03426721
 -0.02966665 -0.029574   -0.04163734 -0.01105465  0.01772757 -0.00816271
  0.01496414  0.0254044   0.03727128  0.01270869  0.03957072 -0.01992163
 -0.0238897  -0.00586605]"
16,Casino,Crime Drama,1995.0,B,Casino,'Mafia',"[-0.03937296 -0.04602198  0.04207135 -0.02170037  0.04847967 -0.0133051
  0.04805795 -0.02990047  0.0166982   0.02210433 -0.04338919  0.0260676
 -0.03297574 -0.01857464  0.02280149  0.04756213 -0.01407459 -0.01534859
  0.00126122 -0.00288393]"
17,Sense and Sensibility,Drama Romance,1995.0,B,Sense and Sensibility,'Jane Austen',"[-0.33231807 -0.685193   -0.06873073  0.7342703   1.0506176   0.83763015
  0.18677069  1.022091   -1.6344819   0.3723545  -1.424308    0.47790945
  1.0993273  -0.5462352  -0.4949212  -0.17013907  0.1491556  -0.18266495
  0.5356116   0.30105966]"
21,Get Shorty,Comedy Crime Thriller,1995.0,B,Get Shorty,'Hollywood',"[ 0.0442967   0.04504261  0.03712773  0.01413923 -0.02504496 -0.00246577
 -0.00999004  0.03080734 -0.03481441 -0.04345428 -0.04841535 -0.04007144
 -0.03215231 -0.01154988 -0.01174043  0.03142582  0.02257732  0.02596345
  0.01314325  0.01017005]"
22,Copycat,Crime Drama Horror Mystery Thriller,1995.0,B,Copycat,'serial killer',"[ 0.46812776  0.53121716 -0.01137827 -0.27981672  0.93937963  1.085362
  0.5956094   1.2175906   0.39507324  0.3448982  -1.4361079  -0.36245725
  0.36086217  0.18219829  0.12900522 -0.6597529   0.75888354  0.12338829
  0.26094967 -0.13375364]"
25,Leaving Las Vegas,Drama Romance,1995.0,B,Leaving Las Vegas,'alcoholism',"[-0.02791336  0.02573771  0.00349218  0.00095524 -0.02386252  0.04834449
  0.00296552 -0.01259677 -0.04610629  0.01422275 -0.03791761 -0.02325755
 -0.04539411  0.00642114  0.04172624  0.02943829 -0.01581113 -0.00577165
  0.04848967 -0.03396655]"
26,Othello,Drama,1995.0,B,Othello,'Shakespeare',"[-0.01962736  0.03705065  0.00968614  0.03917017 -0.00684465 -0.02874619
  0.00527834  0.04334145  0.01477172 -0.02326328 -0.00433838 -0.04815987
  0.03688099  0.03965799  0.01695884 -0.02487862  0.03286096  0.00820442
  0.01616681  0.03612881]"
28,Persuasion,Drama Romance,1995.0,B,Persuasion,"'In Netflix queue', 'Jane Austen'","[-0.43270814 -0.4666931   0.21677916  0.772267    1.2384831   0.9568233
  0.05702535  1.0882777  -1.5552503   0.34949186 -1.1499277   0.4154942
  1.1716976  -0.32435164 -0.3309443  -0.40741733  0.08455396  0.08046239
  0.34692755  0.64807945]"
