movieId,title,genres,year,tag,era
1,Toy Story,Adventure Animation Children Comedy Fantasy,1995.0,"fun, pixar",B
2,Jumanji,Adventure Children Fantasy,1995.0,"Robin Williams, game, fantasy, magic board game",B
3,Grumpier Old Men,Comedy Romance,1995.0,"moldy, old",B
4,Waiting to Exhale,Comedy Drama Romance,1995.0,,B
5,Father of the Bride Part II,Comedy,1995.0,"pregnancy, remake",B
6,Heat,Action Crime Thriller,1995.0,,B
7,Sabrina,Comedy Romance,1995.0,remake,B
8,Tom and Huck,Adventure Children,1995.0,,B
9,Sudden Death,Action,1995.0,,B
10,GoldenEye,Action Adventure Thriller,1995.0,,B
11,"American President, The",Comedy Drama Romance,1995.0,"president, politics",B
12,Dracula: Dead and Loving It,Comedy Horror,1995.0,,B
13,Balto,Adventure Animation Children,1995.0,,B
14,Nixon,Drama,1995.0,"president, politics",B
15,Cutthroat Island,Action Adventure Romance,1995.0,,B
16,Casino,Crime Drama,1995.0,Mafia,B
17,Sense and Sensibility,Drama Romance,1995.0,Jane Austen,B
18,Four Rooms,Comedy,1995.0,,B
19,Ace Ventura: When Nature Calls,Comedy,1995.0,,B
20,Money Train,Action Comedy Crime Drama Thriller,1995.0,,B
21,Get Shorty,Comedy Crime Thriller,1995.0,Hollywood,B
22,Copycat,Crime Drama Horror Mystery Thriller,1995.0,serial killer,B
23,Assassins,Action Crime Thriller,1995.0,,B
24,Powder,Drama Sci-Fi,1995.0,,B
25,Leaving Las Vegas,Drama Romance,1995.0,alcoholism,B
26,Othello,Drama,1995.0,Shakespeare,B
27,Now and Then,Children Drama,1995.0,,B
28,Persuasion,Drama Romance,1995.0,"Jane Austen, In Netflix queue",B
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure Drama Fantasy Mystery Sci-Fi,1995.0,kidnapping,B
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime Drama,1995.0,,B
31,Dangerous Minds,Drama,1995.0,"teacher, high school",B
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery Sci-Fi Thriller,1995.0,"time travel, mindfuck, Post apocalyptic, post-apocalyptic, Bruce Willis, Brad Pitt, remake, twist ending",B
34,Babe,Children Drama,1995.0,"villain nonexistent or not needed for good story, pigs, Animal movie",B
